## location: Lindau
## highway: A96
## id: 9250
date,pkw,lkw,mot,various,total
2010-08-11,19794,4587,582,10783,35746
2010-08-12,21278,4463,583,10769,37093
2010-08-13,24755,3790,600,10095,39240
2010-08-14,25488,1354,547,6176,33565
2010-08-15,25592,814,561,4952,31919
2010-08-16,20304,4345,504,10433,35586
2010-08-17,17731,4535,471,10641,33378
2010-08-18,19170,4591,553,10762,35076
2010-08-19,21019,4516,656,11096,37287
2010-08-20,25331,4190,818,11159,41498
2010-08-21,25777,1418,756,6458,34409
2010-08-22,26563,813,927,5241,33544
2010-08-23,19407,4649,569,10968,35593
2010-08-24,16734,5032,408,11286,33460
2010-08-25,18224,5198,577,11784,35783
2010-08-26,19846,5102,634,11829,37411
2010-08-27,22651,4432,631,11280,38994
2010-08-28,24508,1379,672,6073,32632
2010-08-29,23893,757,700,4804,30154
2010-08-30,18081,4972,455,11323,34831
2010-08-31,17020,5263,395,11800,34478
2010-09-01,19277,5341,519,12239,37376
2010-09-02,20674,5312,553,12496,39035
2010-09-03,24151,4755,721,11965,41592
2010-09-04,25366,1686,698,6662,34412
2010-09-05,25367,848,801,5083,32099
2010-09-06,18673,5171,582,11871,36297
2010-09-07,16834,5532,377,12392,35135
2010-09-08,17374,5564,391,12357,35686
2010-09-09,18484,5336,458,12127,36405
2010-09-10,23068,4938,708,12039,40753
2010-09-11,25349,1804,780,6619,34552
2010-09-12,25553,887,842,4970,32252
2010-09-13,17983,5205,452,11628,35268
2010-09-14,15923,5474,403,11823,33623
2010-09-15,17632,5672,396,12348,36048
2010-09-16,18693,5534,458,12405,37090
2010-09-17,21592,4928,522,11679,38721
2010-09-18,21898,1809,541,6065,30313
2010-09-19,23322,910,574,4663,29469
2010-09-20,17830,5120,465,11346,34761
2010-09-21,16716,5377,494,11705,34292
2010-09-22,17483,5671,449,12245,35848
2010-09-23,18761,5471,510,12211,36953
2010-09-24,23282,5076,573,12012,40943
2010-09-25,20180,1784,406,5698,28068
2010-09-26,23045,881,482,4339,28747
2010-09-27,17261,5407,383,11815,34866
2010-09-28,15682,5566,317,11836,33401
2010-09-29,16441,5661,353,12138,34593
2010-09-30,18238,5488,362,12257,36345
2010-10-01,23565,4912,467,11819,40763
2010-10-02,20871,1800,453,5962,29086
2010-10-03,26320,896,790,5170,33176
2010-10-04,17319,4896,342,10985,33542
2010-10-05,14370,5045,209,10807,30431
2010-10-06,15992,5700,299,12238,34229
2010-10-07,17358,5520,390,11977,35245
2010-10-08,22297,4899,511,11861,39568
2010-10-09,20828,1555,509,5631,28523
2010-10-10,22898,705,482,4164,28249
2010-10-11,17288,5058,419,11389,34154
2010-10-12,15438,5659,333,12018,33448
2010-10-13,16201,5613,362,12134,34310
2010-10-14,17805,5568,298,12171,35842
2010-10-15,21566,4851,427,11363,38207
2010-10-16,18674,1544,357,5353,25928
2010-10-17,19437,585,363,3483,23868
2010-10-18,15896,5236,295,11430,32857
2010-10-19,14615,5592,313,11907,32427
2010-10-20,14993,5804,288,12355,33440
2010-10-21,16236,5541,290,12074,34141
2010-10-22,20595,4954,333,11442,37324
2010-10-23,17563,1532,310,5014,24419
2010-10-24,16488,554,324,3060,20426
2010-10-25,15640,5360,367,11636,33003
2010-10-26,18932,1408,357,4652,25349
2010-10-27,15455,6404,323,13435,35617
